EGO,PSO,DE,GA
5.770858565056131,335176.40869799256,2.308394523184398,293223.7395348615
4.604894009828987,595522.4930133424,1.346547217585541,152995.4483455261
2.8238483602995976,529061.9342305143,0.9368908348215469,219737.48327679076
4.318445210094851,285567.05679729866,1.1427568740565965,287843.78048766666
3.1927691760754855,376971.8935979344,1.7022397646670888,175443.79131145627
4.772185234297559,302981.59578452003,2.730229210146044,147110.7242387264
6.593499171156314,277275.1512986004,1.5511515430140688,160093.0661115773
7.08111065126683,615288.7073287682,2.6346285543186605,221677.83368179615
2.035951292422478,667700.9968308951,1.572813080764943,125935.13745248834
3.906915180776988,541185.5382887386,1.7168952671525786,96184.61063880412
3.1488228678732595,704197.0911007975,1.4510763792345536,118574.42315064055
4.445361646290661,718356.8739559309,2.012884034924033,332293.9183324467
3.269921332494945,490058.6685821889,1.5332359065139602,394847.17305784207
5.761774033733024,288126.1678140808,1.3184805447023362,138913.52177799627
4.239558916615089,311386.1439341993,1.7797232074083829,99546.40909890214
4.908896083698684,256118.48238642333,1.5042690837490713,314880.6648602701
4.029674653976583,25269.59962285552,2.8835416607323876,110112.00388707484
3.831401420682703,457409.18611622084,1.4141276926655983,432189.9390244606
4.036548355540483,219236.94484560716,0.7568571120219137,336687.87573480076
4.311766360666828,472675.7094895859,1.1762452133897412,154500.78145299814
3.8155408846271186,271304.74876732694,0.7979090629753425,326849.9386322915
3.7472221062775266,630044.2249719603,1.4748855408166874,82570.99840894122
7.842006315579886,210810.46173870628,0.8157696419239071,300574.17520138103
4.0371981948487345,327244.5300664124,1.3764838598194016,393628.9543511806
4.3601176439877625,590122.971390842,2.172433496993736,245118.32955664533
4.035073024754471,207702.26309245743,2.085577328163163,102216.82908438079
3.839575058307302,286249.1181028449,1.2027171895345874,324572.9112818049
3.7747957203887044,500065.1754043604,1.9629906188541812,301420.7898411724
4.807665675118697,535020.5260238767,1.9362844509853039,80082.62564064706
9.571818475268069,367283.9771806503,1.6626331754662629,197273.96411026866
