EGO,PSO,DE,GA
5.561003431253653e-05,0.009715909877514417,0.004413837013704347,0.12699051933537409
1.18155658714314e-05,0.009715909877514417,0.00032548147236977076,0.009715910499300151
2.973735873323946e-06,0.0,0.0002991021923293147,0.009715920539757672
0.009715910066694644,0.009715909877514417,0.008215975991208824,0.0372240756585388
1.4158376550499341e-05,0.009715909877514473,2.897748427976854e-05,5.753106213091108e-07
4.075212659937488e-06,0.0007954661615990344,0.006756270227033789,0.07818918496621963
0.009715914819590166,0.0,0.0001180581832394001,0.03722408376186925
1.2110032629741863e-05,0.0,4.645276780956831e-05,0.037224075852403005
6.761949601807871e-06,0.0,4.624458782337415e-05,0.3455063437594127
1.571307237147046e-05,0.009715909877514417,1.5414523881651654e-05,0.037224075111107424
0.00971590991767185,0.0,0.009717264783706825,0.39609792126637633
7.818153270944261e-06,0.009715909877514362,0.004083427657485927,0.3121031411876175
3.459238301578571e-05,8.112098770496345e-10,0.0016221676874911273,0.22769014038249208
7.855549562618691e-06,0.009715909877514417,0.00020677745841840567,0.009715909887308916
0.003354978086877014,0.0,6.090451715501377e-05,0.31210314108891835
5.075313225144651e-05,0.009715909877514362,0.0004795606423110277,0.07818918303908773
0.002326259958862542,0.009715909877514362,9.510351411456952e-05,0.2727410961097413
0.009715910038744002,0.0,0.003528144850600101,0.07818918221032983
0.002456838414205964,0.009715909877514417,0.0021288701355385853,0.037224075108259536
0.00010836496770827431,0.009715909877514417,0.0073231120759771895,0.1269905190827556
9.42816490087095e-05,2.4316061341678186e-05,0.009715915277676623,0.17822230275948697
0.009715911349632456,4.82985873517805e-12,0.00010992468360226937,0.12699052469968802
1.1754224003290847e-05,0.009715909877514417,0.003204443818254965,0.3121031406035252
0.00022951368331713962,0.009715909877514417,0.0097159098931906,0.009715911877296757
0.009715916894700749,0.0,0.009716466145428426,0.03722407556334972
0.009716013966349524,0.0,0.0010409988070119724,0.037224075110197874
5.9908693916255196e-06,0.009715909877514417,0.0005145100415041015,0.07818918313892659
3.161165828857726e-05,0.009715909877514417,0.0010483345407198974,0.00971591014813511
0.008298647070881682,0.0,0.0016833670008102875,0.03722407663604338
8.034354664787635e-06,0.009715909877514362,0.009716664385745588,0.00971590991345389
