EGO,PSO,DE,GA,EGO_time,PSO_time,DE_time,GA_time
20752.480442970937,20830.872039362792,20754.311174170787,20798.24998170081,0.1238088607788086,0.050821781158447266,0.09281420707702637,0.03900289535522461
20752.48380296108,20807.21744723535,20754.023078742248,20791.880001027057,0.12361907958984375,0.04979205131530762,0.09180092811584473,0.03911399841308594
20752.418644034417,20846.641767447752,20754.96016650562,20797.580051134515,0.1269512176513672,0.05012774467468262,0.09167122840881348,0.03903985023498535
20752.433872645182,20807.217447235354,20754.672788087955,20794.795353139783,0.12334895133972168,0.049266815185546875,0.09137606620788574,0.039144039154052734
20752.431854207265,20791.447719150394,20754.50503552193,20801.235777625752,0.12353515625,0.0494379997253418,0.09115886688232422,0.03912782669067383
20752.482174127403,20815.10231127783,20754.111261219947,20799.43364053817,0.12337517738342285,0.04976487159729004,0.091339111328125,0.039103031158447266
20752.51815238949,20807.217447235354,20754.493429750008,20804.679996057384,0.12348794937133789,0.04941892623901367,0.09122991561889648,0.03913998603820801
20752.43369460357,20807.217447235354,20754.57828694035,20793.85631865475,0.12350106239318848,0.049945831298828125,0.09145808219909668,0.039038896560668945
20752.490485393744,20822.98717532031,20753.725959527274,20805.591873932353,0.12317514419555664,0.0493619441986084,0.09145903587341309,0.03903388977050781
20752.507026938936,20767.793127022953,20754.822748838047,20812.368125731322,0.12387609481811523,0.050347089767456055,0.09111881256103516,0.03904294967651367
20752.438237278235,20822.98717532031,20754.262302915133,20789.632082808388,0.1235349178314209,0.04947209358215332,0.09113597869873047,0.03897905349731445
20752.453548157675,20815.10231127783,20754.17298648111,20787.057030424192,0.12389492988586426,0.049317121505737305,0.09144902229309082,0.03903985023498535
20752.38083044987,20799.332583192874,20754.325740472315,20796.801228030337,0.12382793426513672,0.049568891525268555,0.09150528907775879,0.03904986381530762
20752.401751376172,20830.872039362792,20754.34374017133,20792.745300944844,0.12336492538452148,0.04953408241271973,0.0910499095916748,0.039010047912597656
20752.45607539502,20822.98717532031,20754.540538624373,20789.635241910128,0.12350797653198242,0.049565792083740234,0.09140515327453613,0.03902387619018555
20752.451436288025,20799.332583192874,20754.48198007555,20797.75886622674,0.12340927124023438,0.049475669860839844,0.09262633323669434,0.03962969779968262
20752.494165511453,20807.217447235354,20754.313039198467,20793.87256064338,0.1236121654510498,0.049408674240112305,0.09123396873474121,0.03894495964050293
20752.38556678456,20822.98717532031,20754.223928770356,20794.762997828722,0.12315797805786133,0.04951930046081543,0.09139776229858398,0.03905010223388672
20752.511258154125,20807.217447235354,20753.924075202205,20794.772656994402,0.12306404113769531,0.04966092109680176,0.09141921997070312,0.03897595405578613
20752.459786501462,20822.98717532031,20754.263046128184,20803.12900516147,0.12307572364807129,0.050705909729003906,0.09484124183654785,0.04005098342895508
