EGO,PSO,DE,GA,EGO_time,PSO_time,DE_time,GA_time
2.1731095710963988e-05,0.0,0.009715922949453448,0.12699051874386463,0.10628294944763184,0.02967095375061035,0.05542707443237305,0.021832942962646484
6.9370842033456e-05,0.009715909877514417,3.2237627052678075e-05,0.03722407515106946,0.10531187057495117,0.02939605712890625,0.05541586875915527,0.0216062068939209
2.4732661907500564e-05,0.0,0.0004650215074548103,0.03722407511754766,0.10550713539123535,0.02963399887084961,0.05505204200744629,0.021750926971435547
6.545767565202532e-07,0.0,0.0004609447706523384,0.009715919422429553,0.10541319847106934,0.029633045196533203,0.05522489547729492,0.021657705307006836
8.635297413239762e-07,0.009715909877514417,0.004154023919103134,0.17822230260549488,0.10452485084533691,0.029490947723388672,0.05510997772216797,0.021717071533203125
0.009715910292452001,0.0,0.0003054542347184497,0.03722408200155447,0.10514187812805176,0.029834985733032227,0.05544114112854004,0.021824121475219727
1.4189867122427202e-05,0.0,0.001176625208376525,0.037224075156637615,0.10527992248535156,0.029399871826171875,0.055191993713378906,0.02172708511352539
0.009715911810611655,0.0,1.5679086855957536e-05,0.009715913751854766,0.10490226745605469,0.029541730880737305,0.055648088455200195,0.021668195724487305
0.009715924882247262,0.0,2.73086259883204e-07,0.009715910289564977,0.1049187183380127,0.031210899353027344,0.05559492111206055,0.021885156631469727
1.1614266170745235e-05,0.009715909877514362,5.194408250130955e-05,0.009715909968394054,0.10480093955993652,0.029317140579223633,0.0549168586730957,0.021591901779174805
0.00971591094140295,1.1213252548714081e-14,0.0002952209106325543,0.00971591066694072,0.10502505302429199,0.029455900192260742,0.05533409118652344,0.021934986114501953
5.3243766128752146e-05,0.0,0.0019204678683573673,0.07818918584742651,0.10550498962402344,0.02962183952331543,0.055993080139160156,0.021857023239135742
0.00040654908821435853,0.009715909877514417,0.00860700359813743,0.009715910152650054,0.10538697242736816,0.029995203018188477,0.05537080764770508,0.021958112716674805
0.009715918299665838,0.009715909877514417,0.009716118000490326,0.009715909878765472,0.10514187812805176,0.02969813346862793,0.05547690391540527,0.021687984466552734
4.3040046219799954e-06,0.009715909877514417,0.0014559886215220752,0.07818918451700602,0.10490536689758301,0.029607772827148438,0.05597281455993652,0.02197122573852539
4.1095021137915744e-05,0.0,0.002031207790502254,0.03722407512234566,0.10517001152038574,0.0295259952545166,0.055217742919921875,0.02162623405456543
2.2041915743120644e-05,0.0,0.00029276951612655644,0.03722407656896504,0.1044309139251709,0.029626131057739258,0.05528879165649414,0.021755218505859375
8.815667033673646e-05,9.640362023444204e-06,0.004126446310540044,0.037224083297877464,0.10486483573913574,0.029330015182495117,0.055381059646606445,0.021658897399902344
2.334077533638901e-06,0.009715909877514417,0.002702593704218881,0.03722407510776471,0.10476517677307129,0.029709815979003906,0.05509305000305176,0.021708011627197266
0.009715909889839558,0.0,0.0023616736072785693,0.12699051888332852,0.10468411445617676,0.02941298484802246,0.055251121520996094,0.021603107452392578
