EGO,PSO,DE,GA,EGO_time,PSO_time,DE_time,GA_time
-15.955400275356386,-29.35780797158357,-26.5916130069206,-8.94272278491047,0.20883512496948242,0.11539101600646973,0.24132418632507324,0.0952918529510498
-16.28763159571728,-16.535256431988824,-27.834439811725833,-10.070502151349768,0.20270586013793945,0.11510181427001953,0.22322797775268555,0.09376120567321777
-14.001387684934963,-31.081072779555203,-27.976524472476274,-9.341055838467014,0.21724700927734375,0.11098790168762207,0.27739596366882324,0.11411404609680176
-15.176405063634908,-30.670082549532708,-30.71572890463227,-12.720551523880532,0.22210311889648438,0.11173391342163086,0.2301313877105713,0.0951380729675293
-16.148547876387074,-24.86405770202589,-28.883697326091397,-11.028624280316016,0.21394085884094238,0.11069488525390625,0.23204827308654785,0.1021261215209961
-17.69232399600551,-29.02750111641024,-27.897790022559853,-11.750598215206407,0.20592904090881348,0.11053824424743652,0.2871696949005127,0.09681820869445801
-18.831612283498053,-24.81615035036803,-27.688757815836933,-12.855115386745485,0.2140350341796875,0.1300818920135498,0.2500481605529785,0.09572815895080566
-15.326634619273172,-21.88967850275777,-30.53604941327063,-9.103865988049595,0.2055051326751709,0.13068294525146484,0.22439193725585938,0.10365796089172363
-17.24587227278374,-23.811926232209146,-31.133014975314897,-8.91179975389671,0.25605297088623047,0.12337303161621094,0.24969792366027832,0.09554314613342285
-14.229218361486845,-24.10235170600176,-26.176033228598246,-8.305609194191604,0.21287870407104492,0.11579108238220215,0.22252821922302246,0.08235502243041992
-11.90662141141637,-20.866214650001627,-26.78473978379363,-10.640377452899113,0.1781909465789795,0.10693216323852539,0.2231149673461914,0.10227417945861816
-14.335671960570002,-29.128918293662096,-30.43801122832507,-11.133126709141457,0.2179858684539795,0.12534403800964355,0.23700690269470215,0.09735107421875
-16.912695104172,-29.674259457317987,-27.13829236757473,-12.809938221323469,0.21345210075378418,0.11591887474060059,0.226423978805542,0.09494996070861816
-14.656182328495472,-18.27461283288369,-28.25816846977131,-10.947347571678835,0.21030497550964355,0.11246895790100098,0.2231309413909912,0.11197710037231445
-16.00999552403475,-23.493567427786108,-25.201073236095063,-11.488226562225828,0.23620295524597168,0.11840987205505371,0.23201704025268555,0.09557890892028809
-13.952013526761318,-21.069122472026315,-27.316653526994767,-11.190602226801333,0.2124159336090088,0.11799383163452148,0.24573373794555664,0.09947800636291504
-14.571969292511882,-23.454838701673395,-25.571168888437242,-11.897050393084507,0.20986223220825195,0.1135869026184082,0.2246248722076416,0.12847113609313965
-13.974762570404467,-28.757681067189942,-29.92156419697398,-11.647405377131738,0.23311114311218262,0.11421799659729004,0.23344206809997559,0.09869384765625
-14.827335851219777,-21.32240947116658,-32.589902442147455,-9.847565909052296,0.21115899085998535,0.11579394340515137,0.21940970420837402,0.10150289535522461
-13.80438505049517,-27.444086464999806,-30.311175629302927,-10.816845689502191,0.2077641487121582,0.1166539192199707,0.22719383239746094,0.1339430809020996
