EGO,PSO,DE,GA
6861.146259857829,2458689430.208918,285.11725251219485,173320608.64236376
10666.219462414956,1479493135.1928086,144.72010468643003,1071991225.6267148
6446.350542013697,119333427.47064508,225.3095023622493,102247276.52184547
14819.315093690504,415725360.96124953,237.51571538911847,269345465.0675799
21928.29790084828,491846304.5297533,262.9914535066796,128247930.38430873
21965.131532816067,32764783.99465793,192.96796148470665,470134937.520444
8989.514296471822,750069063.802503,365.3038672792374,159848835.46626648
13829.347053660751,412050781.95877707,288.46244479259707,456312048.2574195
22629.889440867344,270383719.3958255,160.81806727596546,92678609.39650449
11587.039708993205,360957849.1378084,237.01794747037926,206165256.6737975
19144.16639459097,1795184155.0854368,133.28955507227187,68631539.13037485
9709.105218671604,341217668.7725786,205.82519379392514,376653562.277894
14774.21042295063,903695786.2452314,199.92878234895713,346976314.14935166
8937.558528768534,624982237.202751,374.7961456082507,32043255.88162443
9976.179691156907,309673912.25072896,162.75675511741406,75217614.11418232
8485.664559492878,161435842.64310807,173.3970448602803,291336758.6365931
8568.362110623335,418157124.74602693,183.7273042906682,904362730.4812894
11315.338461636758,335144674.7214956,202.3771505206297,195067617.82316133
10146.434302913987,1133592875.2018316,243.4848968596355,92560495.27782619
10731.646529720381,1029201684.7957994,170.97820247627078,320262318.1956167
8703.244474097757,883593166.1310561,121.32137529994438,224462974.0210867
14198.16328174181,1758851943.4779773,157.74564433692862,435351016.22878027
13374.449827973118,294685165.33271545,79.72820509355799,69522848.30701818
14442.391695549904,205743585.33240756,101.74281814398634,185873206.24634454
8957.6141224961,505377982.8680899,197.32198449656042,157773689.51032403
16932.627407806827,163041575.6055982,240.2890324386083,178482269.37622583
7752.893607490516,401067528.8897731,171.65116904248973,222744015.85398886
15025.280296846091,1389479311.424425,131.40039463958965,39435450.77062805
8947.047594195901,52139726.51814332,125.59017470740426,150292914.9688705
10830.072137201,33731640.35965113,323.13535395001065,53227377.02866187
